,Link,Title,Content,Summarized_Text,TimeStamp
0,https://nos.nl/artikel/2326718-nvwa-topman-stapt-op-vanwege-gebrek-aan-vertrouwen-bij-ondernemingsraad.html,"
    NVWA-topman stapt op vanwege gebrek aan vertrouwen bij ondernemingsraad
  ","De hoogste baas van de Nederlandse Voedsel en Waren Autoriteit NVWA, Van Lint, stapt op. De ondernemingsraad heeft geen vertrouwen in zijn plan van aanpak om de organisatie te verbeteren. Inspecteur-generaal Van Lint besloot daarop per 1 mei weg te gaan: ""Het vertrouwen van de ondernemingsraad in mij als inspecteur-generaal en in de door mij voorgestelde aanpak van de veranderingen is absoluut noodzakelijk; daarom heb ik besloten terug te treden.""De NVWA is de afgelopen tijd vaak onder vuur komen te liggen, bijvoorbeeld vanwege tekortschietende toezicht op slachthuizen. Ook mislukte een ICT-project.Minister Schouten respecteert de stap van Van Lint. Ze wijst erop dat de NVWA midden in een fase van herbezinning zit: ""Goed toezicht staat of valt met de mensen die het uitvoeren en de wijze waarop ze daar invulling aan kunnen geven.""Schouten gaat met de organisatie praten over een nieuwe inspecteur-generaal. Van Lint heeft een kleine drie jaar bij de NVWA gewerkt. Daarvoor was hij onder meer hoofddirecteur van de Immigratie- en Naturalisatiedienst IND.",Özet,"Vandaag, 15:03"
1,https://nos.nl/artikel/2326710-nederlanders-in-quarantaine-in-vietnam-het-is-incompetentie-troef.html,"
    Nederlanders in quarantaine in Vietnam: ""Het is incompetentie troef""
  ","In Vietnam zitten 27 toeristen in quarantaine vanwege het coronavirus. Het gaat om 25 Nederlanders, twee Belgen en een reisleider van de Nederlandse reisorganisatie Kras. Ze waren bezig met een groepsreis door het land in Zuidoost-Azië en mogen het gebouw waar ze nu zitten niet uit.""We zijn met een binnenlandse vlucht van Hanoi naar Hue gevlogen. Later bleek dat op die vlucht een besmette Engelse zat. We zitten daarom sinds 8 maart in quarantaine"", vertelt de 23-jarige Martijn Buikema, die samen met zijn zus vastzit. ""De eerste twee dagen zaten we in ons viersterrenhotel in Hoi An, maar na twee dagen zijn we verplaatst. Het hotel wilde ons niet meer, niet goed voor het imago.""Reisleider Bruno Mortier spreekt van een quarantainegebouw, waar de groep in zit. Volgens hem is er geen enkele coördinatie door de Vietnamese overheid. De hele groep is inmiddels getest op het coronavirus, maar wanneer de uitslag volgt, is niet bekend.Tot verbazing van Mortier en andere reizigers werden na de test nieuwe mensen het gebouw binnengebracht. ""Als je elke dag nieuwe mensen brengt en die mensen hebben het coronavirus, dan mag je weer helemaal opnieuw beginnen met testen"", zegt hij vanuit Hoi An. ""Dat hebben ze nu begrepen, en ze hebben die mensen nu naar een gebouw hiernaast gebracht.""De inrichting is volgens reisleider Mortier 'spartaans':""Het is een ontzettend vieze plek waar we zitten. Er ligt muizenpoep"", zegt Buikema. ""Mijn zusje en ik hebben een eigen kamer. Voor de rest kunnen we gewoon rondlopen.""Volgens reisleider Mortier is het een ouderwets pand, dat zo'n 15 tot 20 jaar geleden gebouwd is. ""Ze hebben beloofd dat het gedesinfecteerd was, maar het is vies tot en met. Het is heel spartaans ingericht. Het is een leegstand pand. Als we vrij blijken te zijn van het virus, hebben we kans een andere ziekte te hebben opgelopen.""Ook kunnen de reizigers niet voldoen aan de eisen. ""Regel één is veel handen wassen"", zegt Mortier. ""Er is hier geen zeep, geen handdoeken, het is er vies en vuil, de muizen lopen rond."" Voor de deur van het gebouw staan militairen.Wel wordt er voor eten gezorgd. ""We krijgen drie keer per dag te eten van een naastgelegen hotel"", zegt Buikema. Volgens reisleider Mortier worden die maaltijden bereid in een nabijgelegen viersterrenhotel. ""Maar we krijgen geen informatie. Ik ben afhankelijk van de touroperator in Hanoi, die continu in contact staat met de lokale overheid en buitenlandse autoriteiten. We krijgen alle steun, ook van de touroperators. Je bent hier totaal afhankelijk van de overheid, wat incompetentie troef is.""Een woordvoerder van Tui, het moederbedrijf van Kras, zegt dat de plek waar de groep zit volgens hen niet geschikt is voor de reizigers. ""We zijn, samen met het ministerie van Buitenlandse Zaken de situatie nauwlettend aan het volgen en we willen zo snel mogelijk duidelijkheid voor onze gasten"", aldus de woordvoerder. ""Wij willen ze niet in zo'n eenvoudig guest house hebben. De lokale overheid is ze komen halen en die heeft ze hier geplaatst.""Er staat voor komende maandag een terugvlucht gepland, zeggen Buikema en reisleider Mortier. ""Niemand vertoont ziekteverschijnselen. Maar als de overheid ons oplegt dat we nog veertien dagen in quarantaine moeten, dan weet ik het niet"", zegt Mortier.In Vietnam zijn volgens de laatst bekende cijfers ruim dertig mensen besmet geraakt met het virus. Nog niemand is volgens de autoriteiten bezweken aan de gevolgen van het coronavirus.In het land wordt op 5 april ook de Formule 1 gehouden. Er zijn vooralsnog geen berichten dat de racewedstrijd niet doorgaat.",Özet,"Vandaag, 13:47"
2,https://nos.nl/artikel/2326702-eod-brengt-lading-v1-wilp-verspreid-over-drie-dagen-tot-ontploffing.html,"
    EOD brengt lading V1 Wilp verspreid over drie dagen tot ontploffing
  ","De Explosieven Opruimingsdienst Defensie (EOD) is begonnen met het onschadelijk maken van de explosieve lading van de V1 die zondag bij Wilp werd geborgen. Er worden drie dagen voor uitgetrokken.De 935 kilo springstof is in stukken uit het onbemande straalvliegtuig gehaald. Per dag worden vijf pakketten springstof tot ontploffing gebracht in een speciaal aangelegde zandbunker op een militair oefenterrein in de gemeente Lochem.Het gebied is dan afgesloten voor alle verkeer. De gemeente heeft mensen die in de buurt wonen, gewaarschuwd dat ze knallen kunnen horen.De V1 (Vergeltungswaffe 1) was een met explosieven geladen, onbemand straalvliegtuig dat tijdens de Tweede Wereldoorlog door de Duitse luchtmacht tegen de vijand werd ingezet. Veel V1's stortten neer voordat ze hun doel bereikten.De V1 bij Wilp werd vorig jaar bij graafwerk langs de A1 ontdekt. Hij stond nog op scherp. In verband met de ontmanteling werd het verkeer op de A1 zondag stilgelegd. 950 inwoners van Wilp moesten hun huis uit.",Özet,"Vandaag, 12:31"
3,https://nos.nl/artikel/2326701-baudet-en-vpro-twisten-in-rechtszaal-over-uitzending-buitenhof.html,"
    Baudet en VPRO twisten in rechtszaal over uitzending Buitenhof
  ","In de rechtbank in Lelystad is het kort geding geweest van Forum voor Democratie-leider Thierry Baudet tegen de VPRO. De verdediging van Baudet begon met de stelling dat er in tv-programma Buitenhof karaktermoord is gepleegd op Baudet, en dat hem woorden in de mond zijn gelegd. De VPRO noemde de zaak ""een aanval op de onafhankelijke en kritische journalistiek"". De uitspraak volgt woensdag 25 maart, om 14.00 uur.De partij stapte naar de rechter vanwege een uitspraak van Buitenhof-presentatrice Natalie Righton. In een gesprek met oud-FvD'er Henk Otten zei zij dat Baudet in de Tweede Kamer opzien had gebaard met de uitspraak dat ""de EU een vooropgezet plan heeft om het blanke Europese ras te vervangen door Afrikaanse immigranten"".Die uitspraken van Righton waren volgens Baudet ""schandelijke leugens"" en hij eist een rectificatie van het programma. Buitenhof weigert dat en noemde de woordkeuze van de presentatrice in een reactie ""een juiste parafrasering van zowel de uitspraken van Thierry Baudet als de wijze waarop deze uitspraken werden opgevat door enkele Tweede Kamerleden en minister De Jonge"".Baudet zei tijdens het Kamerdebat onder meer dat de EU doelbewust migranten naar Europa haalt met als doel ""het verzwakken van Europese, traditionele identiteiten"". De verdediging van Baudet hekelt de parafrasering door Righton en spreekt van karaktermoord: ""In de parafrase komen drie woorden voor die Baudet nooit heeft uitgesproken: blank, ras en vervangen"", zei advocaat Dirk Vermaat.Volgens de verdediging van de VPRO is dat een ""woordenspel"". De advocaat liet daarop geluidsfragmenten horen van eerdere uitspraken van Baudet, met de bedoeling zo aan te tonen dat zijn teksten passen in een lijn die Righton wel degelijk juist heeft geparafraseerd. ""Hij herhaalt steeds zijn ideeën in iets andere bewoordingen"", vindt Jens van den Brink, die de VPRO bijstaat.In de fragmenten zei Baudet onder meer dat Europa dominant blank moet blijven en dat hij geen etnische minderheid wil worden. Ook was te horen dat de FvD-leider zegt dat hij niet wil dat Europa ""Afrikaniseert"". Hij spreekt ook van ""homeopathische verdunning van ons volk met alle volken van de wereld"", wat volgens hem voortkomt uit ""zelfhaat"".Volgens VPRO is het heel simpel: Baudet zegt gewoon dat hij voor een dominant blank Europa is, bang is voor een mengelmoes van etniciteiten, en mevrouw Righton heeft dat gewoon prima geparafraseerd. Het is de taak van journalistiek om uitspraken van politici te verduidelijken.Het verwijt van Forum dat de partij door de parafrase gezien kan worden als organisatie die er samenzweringstheorieën en racistische denkbeelden op nahoudt, is volgens de VPRO niet terecht. ""Dat kunnen mensen wel denken, maar dat komt dan door Baudet zelf en niet door Buitenhof.""Buitenhof heeft Baudet daar niet van beschuldigd. De VPRO is daarom ook niet van plan om een rectificatie te doen en daarbij te verklaren dat Baudet geen racist is, wat de politicus wil. ""De vrije pers moet vrij zijn, je kunt media niet laten verklaren dat Baudet geen racist is"", zei Van den Brink.",Özet,"Vandaag, 12:25"
4,https://nos.nl/artikel/2326696-drie-mannen-met-geladen-vuurwapen-aangehouden-bij-schiphol.html,"
    Drie mannen met geladen vuurwapen aangehouden bij Schiphol
  ",De Koninklijke Marechaussee heeft bij een reguliere controle bij Schiphol een vuurwapen met munitie in een auto gevonden. De drie mannen in de wagen zijn aangehouden.Een van de mannen was zenuwachtig tijdens de controle. waardoor de marechaussee het vermoeden kreeg dat er iets aan de hand was. De man stapte uit de auto in de hoop zich te onttrekken aan de controle. Hij gooide daarbij snel een tas op de achterbank.In de tas vond de marechaussee een geladen vuurwapen. Daarop hielden ze de drie mannen in de leeftijd van 19 en 20 jaar aan.Naar aanleiding van de vondst van het wapen is een woning in Amsterdam doorzocht. Daar werd niks gevonden.,Özet,"Vandaag, 11:53"
5,https://nos.nl/artikel/2326679-door-coronavirus-dit-jaar-geen-nederlandse-bloemen-tijdens-urbi-et-orbi.html,"
    Door coronavirus dit jaar geen Nederlandse bloemen tijdens urbi et orbi
  ","Het is al lang een traditie dat Nederland de bloemen verzorgt tijdens de paastoespraak van de paus op het Sint-Pietersplein in Rome, het urbi et orbi. Maar dit jaar gaat dat niet door vanwege het coronavirus. Hoofdarrangeur Paul Deckers heeft dat besloten. Een domper, omdat het dit jaar de 35ste keer zou zijn dat de Nederlandse bloemen te zien zijn tijdens de paastoespraak van de katholiek leider. Het is de eerste keer dat het project niet doorgaat.""Vol enthousiasme waren we bezig, het plan ligt klaar"", zei Deckers in het NOS Radio 1 Journaal. ""Maar gezien de ontwikkelingen op dit moment en de maatregelen die in Italië zijn genomen vanwege het virus, hebben we onze verantwoordelijkheid genomen. Geen gezondheidsrisico's nemen naar je team toe, naar de organisatie. Op dit moment is het zo dat alle officiële ceremonies niet doorgaan. Dan kun je op je Nederlandse klompen aanvoelen dat die grote ceremonie ook niet door kan gaan.""Deckers en anderen zijn het hele jaar bezig met de bloemversieringen voor tijdens het urbi et orbi. Onderdeel van de versieringen is de keuze voor een hoofdbloem, een bloem die een hoofdrol speelt in de versiering. Dat zou dit jaar de anthurium zijn.""We zijn er jaarrond mee bezig"", zegt de arrangeur. ""Je bekijkt de hoofdbloem, je gaat bedenken wat je voor volgend jaar gaat gebruiken, er zijn contacten en je bekijkt hoe je alles gaat inzetten. Dan ga je vervolgens bekijken waar alles geplaatst wordt. Dat is een hele voorbereiding.""We gingen langs bij Paul Deckers in zijn bloemenzaak:De bolbloemen, narcissen, hyacinten en blauwe druifjes die op het Sint-Pietersplein geplaatst worden, worden in november geplant. ""Die staan nu dus ook wel klaar"", zegt Deckers, die sinds 1988 betrokken is bij de versieringen van het Sint-Pietersplein en het bordes waar de paus de zegen uitspreekt. Voor zijn werk kreeg de arrangeur in 2015 van paus Franciscus de 'Bene Merenti', een pauselijke onderscheiding.Wat er met de bloemen gaat gebeuren, is nog niet bekend. ""Gisteravond heb ik het besluit naar buiten gebracht. Het is zo dat er nog geen besluit genomen is, maar na de ceremonie op het Sint-Pietersplein gaan de bloemen altijd naar verschillende instellingen. Ook vanuit het idee van duurzaamheid, het wordt niet zomaar weggedaan. Er wordt voor de bloemen zeker een hele goede bestemming gevonden. Daar is men nu mee bezig.""De hoofdbloem van dit jaar, de anthurium, wordt volgend jaar alsnog de hoofdbloem.",Özet,"Vandaag, 09:55"
6,https://nos.nl/artikel/2326678-meer-gezonde-schoolkantines-directe-omgeving-van-school-ongezonder.html,"
    Meer gezonde schoolkantines, directe omgeving van school ongezonder
  ","Het eten in veel schoolkantines is de laatste jaren gezonder geworden, maar in de directe omgeving van scholen gaat het juist de verkeerde kant op. Dat blijkt uit cijfers van onderzoeksbureau Locatus.Er zijn tussen 2005 en 2019 meer fastfoodrestaurants (+34 procent) en lunchrooms (+98 procent) bij gekomen. Vooral in buurten met lage inkomens is het aanbod aan ongezond voedsel toegenomen. Bakkers, slagers en groenteboeren verdwijnen daar juist steeds meer.Het samenwerkingsverband JOGG, waarin gemeenten, bedrijven en maatschappelijke organisaties samenwerken, had opdracht gegeven voor het onderzoek.Directeur Marjon Bachra van JOGG maakt zich zorgen. Bijna een derde van de leerlingen in het voortgezet onderwijs en het mbo snackt en luncht in de pauze buiten de schoolmuren. ""Een gezonde leefomgeving is essentieel voor een gezonde jeugd. Gemeenten moeten in hun regelgeving aandacht schenken aan het voedingsaanbod in de buurt van scholen"", zegt ze.De scholen zelf doen het dus wel steeds beter, zeggen de onderzoekers. De afgelopen drie jaar werkte gemiddeld 39 procent van de scholen volgens de richtlijnen van het Voedingscentrum. In 2015 was dat nog 22 procent.",Özet,"Vandaag, 09:07"
7,https://nos.nl/artikel/2326666-veel-meer-gevangenen-in-kamp-amersfoort-dan-gedacht.html,"
    ""Veel meer gevangenen in Kamp Amersfoort dan gedacht""
  ","In Kamp Amersfoort zaten in de Tweede Wereldoorlog veel meer gevangenen dan gedacht. Er werd altijd uitgegaan van 35.000 mensen, maar onderzoekers van het Nationaal Monument Kamp Amersfoort zeggen in De Telegraaf dat het er zeker 45.000 moeten zijn geweest.Kamp Amersfoort was in de Tweede Wereldoorlog het eerste grote concentratiekamp in Nederland. In het kamp zaten onder anderen verzetsstrijders, Joden en Sovjet-krijgsgevangenen. Veel gevangenen gingen uiteindelijk naar nazi-vernietigingskampen; ongeveer de helft van hen overleefde dat niet.Onderzoekers ontdekten de afgelopen jaren gegevens van 38.000 geregistreerde gevangenen en ook achterhaalden ze de namen van 7000 andere slachtoffers. De onderzoekers hebben van 31.000 gevangenen de identiteit kunnen vaststellen.Voor het onderzoek zijn archieven in heel Europa doorzocht.",Özet,"Vandaag, 07:46"
8,https://nos.nl/artikel/2326661-wekdienst-11-3-weinstein-hoort-zijn-straf-en-kort-geding-baudet-tegen-vpro.html,"
    Wekdienst 11/3: Weinstein hoort zijn straf en kort geding Baudet tegen VPRO
  ","Goedemorgen! In de Verenigde Staten hoort de 67-jarige filmproducent Harvey Weinstein welke celstraf hij krijgt voor verkrachting en aanranding. En in Indonesië breekt de tweede dag van het staatsbezoek aan. Koning Willem-Alexander en koningin Máxima hebben een vol programma. Het is in het zuiden bewolkt en vooral vanochtend regenachtig, in het noorden is het meestal droog met soms ook zon. Er is weinig wind en het kwik loopt op naar 11 tot 13 graden. De komende dagen valt nog een enkele bui, maar is het vaker droog. Maxima liggen rond 9 graden.Ga je op pad? Hier vind je het overzicht van de werkzaamheden en files en de situatie op het spoor.De democratische kandidaat Joe Biden heeft weer een belangrijke slag geslagen in de Amerikaanse voorverkiezingen. Hij stevent af op de overwinning in de belangrijke staat Michigan. Hij kreeg ook in twee andere staten de meeste stemmen.Concurrent Bernie Sanders won vier jaar geleden in Michigan nog van Hillary Clinton, maar heeft het nu dus af moeten leggen tegen Biden.Dit formulier moet je invullen om Italië in of uit te kunnen: Nederlanders die weg willen uit Italië moeten een speciaal reisdocument invullen om nog te kunnen reizen. Heb je die niet op zak dan riskeer je een boete.Meer Nederlanders drinken hooguit een glas alcohol per dag: Dat staat in een nieuwe Leefstijlmonitor van het Centraal Bureau voor Statistiek. Nederlanders voldoen hiermee aan de richtlijn van de Gezondheidsraad.Twee gewonden bij schietpartij in Utrecht, vier verdachten opgepakt: De schietpartij gebeurde rond tien uur 's avonds. Er werd volgens getuigen zeker tien keer geschoten.De provincie Noord-Brabant maakte gisteren bekend dat alle grote evenementen tot komende maandag verboden zijn. Dat geldt ook voor de carnavalsoptocht in Oosterhout, die zondag had moeten plaatsvinden. Het is de tweede domper voor de carnavalsvereniging: tijdens carnaval werd de optocht ook al afgeblazen vanwege het stormachtige weer.Hoewel de organisatoren teleurgesteld zijn, komt het besluit niet geheel onverwachts:Fijne dag!",Özet,"Vandaag, 06:59"
9,https://nos.nl/artikel/2326659-weinstein-hoort-zijn-vonnis-hoe-is-het-in-nederland-met-metoo.html,"
    Weinstein hoort zijn vonnis, hoe is het in Nederland met #MeToo?
  ","#MeToo. Het is alweer bijna 2,5 jaar geleden dat via deze hashtag de ene na de andere onthulling over seksuele intimidatie of misbruik naar buiten kwam. Aanleiding voor de wereldwijde #MeToo-beweging waren beschuldigingen aan het adres van de Amerikaanse filmproducent Harvey Weinstein. Twee weken geleden achtte een jury hem schuldig aan aanranding en verkrachting, vandaag hoort hij zijn straf van de rechter.Ook in Nederland deed #MeToo stof opwaaien. Bekende voorbeelden zijn de aangifte van journalist Jelle Brandt Corstius tegen tv-producent Gijs van Dam en de zaak tegen regisseur en oud-castingdirecteur Job Gosschalk, die onder meer de film Alles is liefde produceerde. Ook dirigent Pieter Jan Leusink werd beschuldigd van verregaand seksueel grensoverschrijdend gedrag, vier vrouwen deden hun verhaal in Brandpunt+.Wat is het effect geweest van de MeToo-beweging op Nederland?NOS op 3 sprak met negen acteurs over seksuele intimidatie door Gosschalk, onder wie met Winston Post. Die werd tijdens een bijles door de castingdirecteur gevraagd om te masturberen. ""De grens was voor mij reeds voor dat moment bereikt en ik brak de bijles af."" Lees hier het hele artikel: 'Voor je het weet een hand in je kruis'.Naar aanleiding van de MeToo-kwesties in de cultuursector werd in juni 2018 het meldpunt Mores opgericht, waar mensen uit de film-, theater- en televisiewereld terecht kunnen met klachten over ongewenste omgangsvormen. Sinds de start van het meldpunt zijn bij Mores 40 meldingen binnengekomen, waarvan 18 over dezelfde zaak.Volgens Janke Dekker, bestuursvoorzitter van Mores, is de drempel om aan de bel te trekken lager geworden. ""In deze sector heeft niemand een vaste baan en was de angst om iets te melden groot. Door het meldpunt durven mensen die stap nu eerder te zetten, ook omdat dat anoniem kan.""Sinds de opkomst van de MeToo-beweging zijn bepaalde onderwerpen in de culturele sector beter bespreekbaar geworden, vindt Dekker. ""Eerst dacht men dat bepaald gedrag heel normaal was. Onder het mom van humor werd veel gedaan en gezegd wat kwetsend kan zijn. Nu vragen mensen zich sneller af: kan dit wel? Dat is de winst van MeToo.""Maar niet iedereen is daar blij mee. Want moet een grapje soms niet gewoon kunnen? Die vraag krijgt Inge te Brake van de Landelijke Vereniging Vertrouwenspersonen (LVV) regelmatig, zegt ze, vooral van mannen. ""Wij zeggen dan: het kan wel, maar kijk eens om je heen wat voor effect je grap heeft. Die moet niet ten koste gaan van anderen.""De LVV zag de vraag naar vertrouwenspersonen op de werkvloer de afgelopen 2,5 jaar flink stijgen. Ook het aantal gecertificeerde opleidingen voor vertrouwenspersonen nam toe. ""Er is meer aandacht voor het thema gekomen op de werkvloer"", zegt woordvoerder Inge te Brake. ""Vooral het eerste jaar na #MeToo was de uitvraag echt enorm.""Journalist en publicist Hasna El Maroudi, die de MeToo-beweging op de voet volgt, wordt zelfs een beetje boos van mensen die vinden dat ze niets meer mogen zeggen. ""Op dit moment kan er namelijk ook heel weinig voor veel vrouwen. Als iemand zijn grens aangeeft, moet je daar gewoon niet overheen gaan.""Volgens El Maroudi heeft MeToo vooral op het gebied van bewustwording veel voor elkaar gekregen in Nederland. ""Daarvoor waren veel mannen zich er niet van bewust dat sommige vrouwen zich buiten niet veilig voelen, dat er momenten zijn dat ze zich op straat beschermen door hun sleutels tussen hun vingers te stoppen. Mannen wisten wel dat dat gebeurde, maar niet op welke schaal.""El Maroudi benadrukt dat er wel een verschil is tussen grensoverschrijdend gedrag op straat en in de kroeg en seksuele intimidatie waar bijvoorbeeld de zaak-Weinstein om draait. ""Die laatste zaak gaat ook echt over machtsmisbruik, over seksueel geweld tussen een leidinggevende en zijn werknemer.""Seksueel geweld helemaal uitroeien is onmogelijk, zegt El Maroudi. ""Maar de mate waarin het gebeurt kan wel veranderen. Ik denk dat MeToo en alle bewegingen die daarna zijn opgekomen een eerste stap zijn geweest in het zorgen voor meer balans in de samenleving. Maar er zullen altijd smeerlappen blijven bestaan.""Tegen castingdirecteur Job Gosschalk werd aangifte gedaan vanwege ""een soort #MeToo-gevalletje"", in de woorden van zijn advocaat Gerard Spong. Maar uiteindelijk besloot het Openbaar Ministerie de tv-maker niet te vervolgen, omdat hij en de persoon die aangifte had gedaan er onderling al uit waren gekomen, na een bemiddelingstraject.De zaak tussen tv-producent Gijs van Dam en journalist Jelle Brandt Corstius loopt nog steeds. Brandt Corstius beschuldigde Van Dam van verkrachting, maar volgens Van Dam ging het om vrijwillige seks. Hij beschuldigde Brandt Corstius vervolgens van smaad en laster. Volgens de Nederlandse Vereniging van Strafrecht Advocaten was het gevolg een trial by media, met het woord van Brandt Corstius recht tegenover dat van Van Dam. Aanvankelijk wilde het OM de twee niet vervolgen, maar het gerechtshof bepaalde vorig jaar dat justitie de rechtsgang tegen Brandt Corstius toch moet doorzetten.",Özet,"Vandaag, 06:54"
