,Kategori,Link
0,binnenland,https://nos.nl/artikel/2326718-nvwa-topman-stapt-op-vanwege-gebrek-aan-vertrouwen-bij-ondernemingsraad.html
1,binnenland,https://nos.nl/artikel/2326710-nederlanders-in-quarantaine-in-vietnam-het-is-incompetentie-troef.html
2,binnenland,https://nos.nl/artikel/2326702-eod-brengt-lading-v1-wilp-verspreid-over-drie-dagen-tot-ontploffing.html
3,binnenland,https://nos.nl/artikel/2326701-baudet-en-vpro-twisten-in-rechtszaal-over-uitzending-buitenhof.html
4,binnenland,https://nos.nl/artikel/2326696-drie-mannen-met-geladen-vuurwapen-aangehouden-bij-schiphol.html
5,binnenland,https://nos.nl/artikel/2326679-door-coronavirus-dit-jaar-geen-nederlandse-bloemen-tijdens-urbi-et-orbi.html
6,binnenland,https://nos.nl/artikel/2326678-meer-gezonde-schoolkantines-directe-omgeving-van-school-ongezonder.html
7,binnenland,https://nos.nl/artikel/2326666-veel-meer-gevangenen-in-kamp-amersfoort-dan-gedacht.html
8,binnenland,https://nos.nl/artikel/2326661-wekdienst-11-3-weinstein-hoort-zijn-straf-en-kort-geding-baudet-tegen-vpro.html
9,binnenland,https://nos.nl/artikel/2326659-weinstein-hoort-zijn-vonnis-hoe-is-het-in-nederland-met-metoo.html
10,binnenland,https://nos.nl/artikel/2326655-anwb-is-miljoenen-kwijt-door-forse-toename-e-bikediefstal.html
11,binnenland,https://nos.nl/artikel/2326651-patienten-mogen-niet-meer-worden-gedwongen-stil-te-blijven-over-fouten.html
12,binnenland,https://nos.nl/artikel/2326648-meer-nederlanders-drinken-hooguit-een-glas-alcohol-per-dag.html
13,binnenland,https://nos.nl/liveblog/2326530-corona-treft-ook-verkiezingscampagne-vs-en-brabant-op-slot.html
14,binnenland,https://nos.nl/artikel/2326636-corona-overzicht-verbod-op-evenementen-in-brabant-en-vierde-dode-in-nederland.html
15,binnenland,https://nos.nl/artikel/2326633-geloof-als-reddingsboei-volle-zalen-voor-christelijke-rappers.html
16,binnenland,https://nos.nl/artikel/2326625-thuiswerken-dat-werkt-prima-op-de-zuidas-maar-niet-hier-in-brabant.html
17,binnenland,https://nos.nl/artikel/2326613-klimaatimpact-importgas-groter-dan-van-biomassa.html
18,binnenland,https://nos.nl/artikel/2326594-defensie-medewerkers-mogen-werkelijke-schade-chroom-6-claimen.html
19,binnenland,https://nos.nl/artikel/2326590-gegevens-van-donoren-uit-periode-1998-2010-mogelijk-op-straat.html
20,binnenland,https://nos.nl/artikel/2326587-zeven-dagen-van-sociale-onthouding-in-brabant-grote-evenementen-geschrapt.html
