,Kategori,Link
0,binnenland,https://nos.nl/liveblog/2331044-horeca-tot-zeker-16-mei-dicht-prijs-amerikaanse-olie-sluit-op-min-37-dollar.html
1,binnenland,https://nos.nl/artikel/2331144-nog-steeds-onderzoek-naar-besmettelijkheid-kinderen-koorts-niet-karakteristiek.html
2,binnenland,https://nos.nl/artikel/2331140-nu-de-grootste-coronapaniek-weg-is-neemt-ook-de-saamhorigheid-af.html
3,binnenland,https://nos.nl/artikel/2331138-onderzoek-een-op-drie-amsterdamse-makelaars-bereid-om-te-discrimineren.html
4,binnenland,https://nos.nl/artikel/2331135-kabinet-trekt-nog-eens-5-miljard-uit-voor-stikstofbeleid.html
5,binnenland,https://nos.nl/artikel/2331132-honderden-nederlanders-sluiten-zich-aan-bij-massaclaim-tegen-tirol.html
6,binnenland,https://nos.nl/artikel/2331131-ligduur-coronapatient-kan-korter-door-lichtere-slaapmiddelen.html
7,binnenland,https://nos.nl/artikel/2331125-zo-ziet-werken-eruit-na-de-coronacrisis.html
8,binnenland,https://nos.nl/artikel/2331117-18-jarige-gedode-fietser-in-oss-blijkt-neergestoken.html
9,binnenland,https://nos.nl/artikel/2331108-als-arts-in-opleiding-leer-je-ook-heel-veel-van-deze-situatie.html
10,binnenland,https://nos.nl/artikel/2331107-veiligheidsdiensten-waarschuwden-ministerie-om-corona-app.html
11,binnenland,https://nos.nl/artikel/2331104-coronacijfers-van-20-april-aantal-ziekenhuisopnames-en-doden-daalt-verder.html
12,binnenland,https://nos.nl/artikel/2331102-grote-natuurbranden-in-brabant-en-limburg-nog-niet-onder-controle.html
13,binnenland,https://nos.nl/artikel/2331099-podcast-de-dag-wat-we-kunnen-leren-van-vorige-economische-rampen.html
14,binnenland,https://nos.nl/artikel/2331079-oudere-met-coronavirus-minder-vaak-doorverwezen-naar-ic.html
15,binnenland,https://nos.nl/artikel/2331078-openbaar-vervoer-nederland-richtlijnen-nodig-voor-wie-met-ov-mag-reizen.html
16,binnenland,https://nos.nl/artikel/2331075-kritiek-studenten-op-surveillancesoftware-voor-examens.html
17,binnenland,https://nos.nl/artikel/2331071-rekenkamer-veel-mis-met-digitale-beveiliging-van-schiphol.html
18,binnenland,https://nos.nl/artikel/2331065-dit-zijn-de-experts-die-het-coronabeleid-bepalen.html
19,binnenland,https://nos.nl/artikel/2331057-wekdienst-20-4-denemarken-versoepelt-regels-omt-bijeen-voor-advies-kabinet.html
20,binnenland,https://nos.nl/artikel/2331056-honderdduizenden-mondkapjes-aangekomen-op-schiphol.html
21,binnenland,https://nos.nl/artikel/2331054-aantal-schietincidenten-toegenomen-politie-bezorgd.html
22,binnenland,https://nos.nl/artikel/2331051-coronacrisis-verandert-reisgedrag-mogelijk-blijvend.html
23,binnenland,https://nos.nl/artikel/2331050-360-000-minder-reguliere-verwijzingen-huisartsen-door-corona.html
24,binnenland,https://nos.nl/liveblog/2330944-vws-perfecte-app-is-er-nog-niet-tot-nu-toe-19-miljard-voor-steunmaatregelen.html
25,buitenland,https://nos.nl/liveblog/2331044-horeca-tot-zeker-16-mei-dicht-prijs-amerikaanse-olie-sluit-op-min-37-dollar.html
26,buitenland,https://nos.nl/artikel/2331152-opnieuw-aanhouding-voor-dood-39-vietnamezen-in-britse-koelwagen.html
27,buitenland,https://nos.nl/artikel/2331148-aanhangers-van-trump-voeren-protest-tegen-lockdownmaatregelen-op.html
28,buitenland,https://nos.nl/artikel/2331143-israel-herdenkt-slachtoffers-holocaust.html
29,buitenland,https://nos.nl/artikel/2331142-denemarken-wordt-weer-opgestart-blij-maar-ook-nerveus-om-te-werken.html
30,buitenland,https://nos.nl/artikel/2331134-akkoord-over-nationale-noodregering-in-israel.html
31,buitenland,https://nos.nl/artikel/2331132-honderden-nederlanders-sluiten-zich-aan-bij-massaclaim-tegen-tirol.html
32,buitenland,https://nos.nl/artikel/2331128-dodental-bloedbad-canada-loopt-op-bekenden-van-schutter-zijn-geschokt.html
33,buitenland,https://nos.nl/artikel/2331110-japanse-professor-virologie-pessimistisch-over-doorgaan-spelen-in-2021.html
34,buitenland,https://nos.nl/artikel/2331105-branden-tsjernobyl-nu-bestreden-door-1400-brandweerlieden.html
35,buitenland,https://nos.nl/artikel/2331093-europese-landen-laten-coronateugels-iets-vieren-maar-het-gaat-stapje-voor-stapje.html
36,buitenland,https://nos.nl/artikel/2331077-na-drie-maanden-rondzwerven-zijn-voetballers-wuhan-eindelijk-terug.html
37,buitenland,https://nos.nl/artikel/2331063-commissie-slap-bij-aanpak-corona-vinden-veel-nederlandse-europarlementariers.html
38,buitenland,https://nos.nl/artikel/2331045-harry-en-meghan-willen-niet-meer-met-grote-britse-tabloids-praten.html
39,buitenland,https://nos.nl/liveblog/2330944-vws-perfecte-app-is-er-nog-niet-tot-nu-toe-19-miljard-voor-steunmaatregelen.html
40,buitenland,https://nos.nl/artikel/2331043-zeker-zestien-doden-bij-bloedbad-in-oost-canada-schutter-omgekomen.html
41,buitenland,https://nos.nl/artikel/2331041-israeliers-protesteren-op-afstand-tegen-netanyahu.html
42,buitenland,https://nos.nl/artikel/2331027-grieken-namen-snel-strenge-maatregelen-tegen-corona-en-met-succes.html
43,buitenland,https://nos.nl/artikel/2331009-wuhan-komt-weer-tot-leven-maar-blijft-bang-voor-een-nieuwe-uitbraak.html
44,buitenland,https://nos.nl/artikel/2330980-britse-artsen-wanhopig-over-tekort-aan-beschermingsmiddelen.html
45,buitenland,https://nos.nl/artikel/2330969-waarom-veel-bedrijven-niet-willen-dat-euro-2020-een-nieuwe-naam-krijgt.html
46,buitenland,https://nos.nl/artikel/2330960-internationaal-protest-tegen-arrestaties-hongkong.html
47,buitenland,https://nos.nl/artikel/2330959-zo-kijken-de-vijf-populairste-europese-vakantielanden-naar-komende-zomer.html
48,buitenland,https://nos.nl/artikel/2330952-bijna-130-miljoen-dollar-opgehaald-met-liefdesbrief-aan-doorwerkers.html
49,buitenland,https://nos.nl/artikel/2330950-wekdienst-19-4-online-herdenking-kamp-amersfoort-en-terug-in-de-tijd-met-studio-sport.html
50,regio,https://nos.nl/artikel/2331118-explosieven-gevonden-in-kringloopwinkel-enschede.html
51,regio,https://nos.nl/artikel/2331102-grote-natuurbranden-in-brabant-en-limburg-nog-niet-onder-controle.html
52,regio,https://nos.nl/artikel/2331096-hoofdverdachte-in-miljoenenfraudezaak-opgepakt.html
53,regio,https://nos.nl/artikel/2331083-tweede-sluis-in-twentekanaal-bij-eefde-geopend.html
54,regio,https://nos.nl/artikel/2331028-opgesloten-in-het-verpleeghuis-maar-geen-corona-ze-sterft-aan-eenzaamheid.html
55,regio,https://nos.nl/artikel/2331006-27-aanhoudingen-na-inval-illegaal-gokpand-rotterdam.html
56,regio,https://nos.nl/artikel/2330911-commotie-over-mogelijk-verbod-op-erehagen-in-limburg.html
57,regio,https://nos.nl/artikel/2330878-politie-beeindigt-illegaal-pokertoernooi-in-zaandam.html
58,regio,https://nos.nl/artikel/2330841-maanden-cel-voor-rotterdammer-die-agent-beet-tijdens-arrestatie.html
59,regio,https://nos.nl/artikel/2330823-voormalig-thermphos-terrein-na-jaren-saneren-fosforvrij.html
60,regio,https://nos.nl/artikel/2330790-kinderkamer-met-seksattributen-bij-pedo-verdachte-hengelo.html
61,regio,https://nos.nl/artikel/2330787-snelheidsmaniak-sleurt-politieman-mee-op-a2.html
62,regio,https://nos.nl/artikel/2330772-met-het-gat-in-de-dijk-herdenkt-wieringermeer-onderwaterzetting.html
63,regio,https://nos.nl/artikel/2330768-gedroomd-dagje-paintballen-eindigt-op-verlaten-zandpad-bij-kuinre.html
